instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn4 0 static 0.32 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 1 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 2 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 3 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 4 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 5 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 6 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 7 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 8 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 9 static 0.03 0.00 0.00 0.01 0.01 7 30 6 12 5
cyclicn4 10 static 0.03 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 11 static 0.03 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 12 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 13 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 14 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 15 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 16 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 17 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 18 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 19 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 20 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 21 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 22 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 23 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 24 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 25 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 26 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicn4 27 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 28 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn4 29 static 0.03 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 0 static 0.03 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 1 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 2 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 3 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 4 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 5 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 6 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 7 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 8 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 9 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 10 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 11 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 12 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 13 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 14 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 15 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 16 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 17 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 18 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 19 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 20 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 21 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 22 static 0.02 0.00 0.00 0.01 0.00 7 30 6 12 5
cyclicnh4 23 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 24 static 0.03 0.00 0.00 0.01 0.00 7 30 6 12 5
