instance algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn4 static 0.07 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn5 static 0.13 0.00 0.00 0.05 0.07 20 232 8 113 75
cyclicnh5 static 0.13 0.00 0.00 0.05 0.07 38 538 13 113 75
cyclicn6 static 2.03 0.00 0.00 0.50 1.50 45 1135 9 354 255
cyclicnh6 static 2.19 0.00 0.00 0.50 1.66 99 3502 15 389 290
katsuran4 static 0.01 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuranh4 static 0.01 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuran5 static 0.02 0.00 0.00 0.00 0.01 13 168 5 31 18
katsuranh5 static 0.02 0.00 0.00 0.00 0.01 13 168 5 31 18
katsuran6 static 0.11 0.00 0.00 0.02 0.08 22 528 6 70 48
katsuranh6 static 0.11 0.00 0.00 0.02 0.08 22 528 6 70 48
cyclicn4 caboara-perry 0.05 0.04 0.03 0.00 0.00 5 21 5 8 3
cyclicnh4 caboara-perry 0.05 0.04 0.03 0.00 0.00 5 21 5 8 3
cyclicn5 caboara-perry 0.32 0.16 0.13 0.05 0.09 10 89 15 87 46
cyclicnh5 caboara-perry 0.19 0.13 0.09 0.01 0.03 21 296 12 49 28
cyclicn6 caboara-perry 5.16 1.47 1.03 0.90 2.71 19 360 48 426 291
cyclicnh6 caboara-perry 1.56 0.79 0.41 0.11 0.62 53 2878 16 173 120
katsuran4 caboara-perry 0.05 0.03 0.03 0.00 0.01 7 55 4 12 5
katsuranh4 caboara-perry 0.10 0.07 0.06 0.00 0.02 8 58 4 15 7
katsuran5 caboara-perry 0.18 0.11 0.09 0.01 0.05 12 193 6 32 16
katsuranh5 caboara-perry 0.23 0.17 0.13 0.01 0.04 14 197 5 34 20
katsuran6 caboara-perry 0.43 0.24 0.16 0.02 0.15 23 593 6 72 49
katsuranh6 caboara-perry 0.82 0.62 0.38 0.03 0.15 24 634 6 77 53
cyclicn4 perturbation 0.03 0.02 0.02 0.00 0.00 7 30 6 12 5
cyclicnh4 perturbation 0.03 0.03 0.02 0.00 0.00 7 30 6 12 5
cyclicn5 perturbation 0.28 0.14 0.12 0.05 0.08 20 232 8 113 75
cyclicnh5 perturbation 0.11 0.08 0.07 0.01 0.02 12 171 7 32 16
cyclicn6 perturbation 2.59 0.47 0.39 0.51 1.57 45 1135 9 354 255
cyclicnh6 perturbation 0.50 0.26 0.22 0.04 0.18 34 1540 9 101 66
katsuran4 perturbation 0.03 0.03 0.02 0.00 0.00 7 49 4 12 5
katsuranh4 perturbation 0.05 0.04 0.03 0.00 0.00 7 49 4 12 5
katsuran5 perturbation 0.10 0.08 0.07 0.01 0.01 13 168 5 31 18
katsuranh5 perturbation 0.11 0.08 0.08 0.01 0.01 13 168 5 31 18
katsuran6 perturbation 0.25 0.13 0.11 0.02 0.09 22 528 6 70 48
katsuranh6 perturbation 0.28 0.16 0.14 0.02 0.09 22 528 6 70 48
