instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuranh4 F4 12 perturbation 0.20 0.07 0.06 0.00 0.01 7 49 4 44 6
katsuranh5 F4 0 caboara-perry 0.38 0.20 0.14 0.01 0.03 13 169 5 155 21
cyclicnh5 classical 18 static 0.11 0.00 0.00 0.02 0.08 38 538 13 113 75
katsuran5 F4 29 caboara-perry 0.14 0.11 0.10 0.00 0.02 13 168 5 140 22
cyclicnh4 F4 11 perturbation 0.01 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicnh4 classical 25 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicn6 F4 11 static 0.68 0.00 0.00 0.13 0.50 45 1135 9 1272 351
katsuran5 classical 6 perturbation 0.16 0.12 0.11 0.00 0.02 13 168 5 31 18
katsuran5 classical 15 perturbation 0.13 0.10 0.08 0.00 0.02 13 168 5 31 18
cyclicnh5 classical 22 static 0.12 0.00 0.00 0.03 0.08 38 538 13 113 75
cyclicnh4 F4 22 caboara-perry 0.04 0.03 0.02 0.00 0.00 7 29 8 38 6
katsuranh4 classical 7 static 0.01 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuran5 F4 7 static 0.03 0.00 0.00 0.00 0.02 13 168 5 140 22
cyclicn6 classical 11 static 1.98 0.00 0.00 0.16 1.68 45 1135 9 354 255
cyclicn6 classical 28 static 2.55 0.00 0.00 0.19 2.21 45 1135 9 354 255
cyclicn4 F4 25 static 0.01 0.00 0.00 0.00 0.01 7 30 6 29 5
cyclicn6 F4 14 perturbation 1.19 0.17 0.14 0.31 0.64 45 1135 9 1710 497
katsuran5 F4 26 static 0.03 0.00 0.00 0.00 0.02 13 168 5 140 22
cyclicn4 classical 23 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5
katsuranh5 F4 22 perturbation 0.09 0.06 0.05 0.01 0.02 13 168 5 219 49
cyclicn4 F4 14 perturbation 0.01 0.00 0.00 0.00 0.00 7 30 6 43 10
katsuran4 classical 18 perturbation 0.05 0.04 0.03 0.00 0.00 7 49 4 12 5
katsuranh6 classical 9 static 0.12 0.00 0.00 0.01 0.10 22 528 6 70 48
cyclicn4 classical 26 caboara-perry 0.06 0.04 0.03 0.00 0.00 5 21 5 8 3
cyclicnh6 classical 28 static 2.23 0.00 0.00 0.15 2.03 99 3502 15 389 290
katsuran6 F4 17 perturbation 0.21 0.06 0.05 0.01 0.09 22 528 6 537 123
cyclicnh5 classical 18 caboara-perry 0.29 0.21 0.13 0.01 0.04 21 296 12 49 28
katsuranh6 F4 24 static 0.12 0.00 0.00 0.01 0.09 22 528 6 389 61
katsuran5 F4 10 caboara-perry 0.21 0.18 0.16 0.00 0.01 13 168 5 140 22
cyclicnh6 F4 3 perturbation 0.47 0.06 0.05 0.01 0.37 34 1540 9 515 79
katsuran4 classical 22 static 0.01 0.00 0.00 0.00 0.00 7 49 4 12 5
cyclicnh4 F4 2 static 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh6 classical 9 perturbation 0.64 0.36 0.31 0.03 0.22 34 1540 9 102 65
katsuran4 F4 2 static 0.01 0.00 0.00 0.00 0.00 7 49 4 44 6
cyclicnh5 classical 23 static 0.12 0.00 0.00 0.02 0.09 38 538 13 113 75
katsuranh4 classical 26 caboara-perry 0.12 0.10 0.08 0.00 0.01 8 58 4 15 7
cyclicnh4 classical 7 perturbation 0.05 0.04 0.03 0.00 0.00 7 30 6 12 5
cyclicnh4 F4 4 caboara-perry 0.05 0.04 0.02 0.00 0.00 7 29 8 38 6
cyclicn4 classical 0 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh6 F4 8 perturbation 0.31 0.06 0.05 0.01 0.21 34 1540 9 515 79
katsuranh5 classical 8 perturbation 0.13 0.10 0.09 0.00 0.02 13 168 5 31 18
cyclicnh6 classical 24 static 2.17 0.00 0.00 0.14 1.98 99 3502 15 389 290
cyclicn4 classical 4 caboara-perry 0.08 0.07 0.06 0.00 0.00 5 21 5 8 3
