instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
econ5 classical 0 gritzmann-sturmfels 115.21 114.90 43.43 0.02 0.08 10 70 3 33 13
econh4 classical 0 gritzmann-sturmfels 461.15 459.52 214.43 0.43 1.10 10 51 6 158 87
fatemanh classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
econ7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
econ6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicn7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
econh5 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
noon7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuranh4 classical 0 gritzmann-sturmfels 5.67 5.60 3.99 0.01 0.03 7 49 4 30 18
katsuranh5 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicn5 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
butcher8 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuran4 classical 0 gritzmann-sturmfels 0.85 0.74 0.55 0.00 0.01 7 52 4 11 4
katsuranh6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuran5 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicn4 classical 0 gritzmann-sturmfels 0.90 0.87 0.67 0.00 0.01 5 21 5 11 3
econh7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicnh7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicnh4 classical 0 gritzmann-sturmfels 1.88 1.85 1.42 0.00 0.01 4 17 4 10 2
econ4 classical 0 gritzmann-sturmfels 1.10 1.05 0.81 0.01 0.03 4 18 2 12 3
cyclicnh6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuran6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuran7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
katsuranh7 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
f633h classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicnh5 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
fateman classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
econh6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
cyclicn6 classical 0 gritzmann-sturmfels NA NA NA NA NA NA NA NA NA NA
