instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
butcher8 F4 0 perturbation 3.25 0.29 0.23 0.92 1.79 54 1796 4 2481 612
butcher8 classical 0 static 12.45 0.00 0.00 0.61 11.69 54 1796 4 420 290
butcher8 F4 0 static 2.19 0.00 0.00 0.44 1.62 54 1796 4 2136 293
noon7 F4 0 static 284.63 0.00 0.00 6.35 275.44 495 71153 13 80906 3625
butcher8 classical 0 perturbation 14.30 2.49 1.95 0.63 11.03 44 1300 4 389 265
econh7 classical 0 caboara-perry 8.46 3.46 0.95 0.49 4.39 68 1985 15 324 256
econh7 F4 0 static 0.54 0.00 0.00 0.06 0.43 51 1127 10 1185 171
econh7 classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
econh7 F4 0 caboara-perry 7.52 5.13 1.57 0.18 2.01 79 2179 18 3449 320
econh7 classical 0 static 1.19 0.00 0.00 0.08 1.09 51 1127 10 213 162
noon7 F4 0 perturbation NA NA NA NA NA NA NA NA NA NA
noon7 classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
noon7 classical 0 static 209.57 0.00 0.00 8.67 200.29 495 71153 13 2892 2397
butcher8 classical 0 caboara-perry 15.08 2.14 1.08 1.13 11.60 34 911 5 368 221
butcher8 F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
econh7 F4 0 perturbation 0.76 0.13 0.11 0.10 0.46 51 1127 10 1485 327
noon7 classical 0 caboara-perry 2651.13 29.13 20.91 38.40 2579.72 398 264267 19 3256 2553
noon7 F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
