instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicnh8 F4 20 random 2717.24 2.37 0.50 64.74 2597.48 1182 676462 29 97018 14472
cyclicnh8 F4 21 random 4956.94 1.70 0.29 25.16 4884.36 865 649789 20 91812 7448
cyclicnh8 classical 7 random 6103.56 82.99 10.48 33.22 5976.32 507 494742 17 3341 2584
cyclicnh8 classical 6 random 6468.27 90.66 14.06 15.32 6355.65 729 644973 24 3895 3134
cyclicnh8 F4 7 random 2667.79 2.36 0.47 65.49 2547.92 1182 676462 29 97018 14472
cyclicnh8 F4 4 random 1322.48 1.22 0.24 18.19 1275.34 670 431787 18 53616 5816
cyclicnh8 classical 12 random 2814.64 44.29 6.97 7.23 2759.10 503 470721 18 2516 1994
cyclicnh8 F4 3 random 5423.25 1.10 0.17 7.22 5389.96 422 441557 18 86664 3560
cyclicnh8 classical 21 random 11659.37 188.10 34.60 38.06 11423.61 1182 676462 29 7026 5844
cyclicnh8 classical 28 random 5655.23 84.66 10.01 14.25 5547.43 461 456931 17 3089 2379
cyclicnh8 classical 4 random 6855.08 97.75 11.51 39.81 6707.91 510 457842 19 3446 2647
cyclicnh8 F4 14 random 9228.52 1.19 0.18 7.83 9192.79 420 452181 16 96061 3632
cyclicnh8 classical 3 random 11839.82 191.44 35.09 38.16 11600.88 1182 676462 29 7026 5844
cyclicnh8 classical 13 random 4720.90 60.76 7.85 27.13 4625.36 488 386720 18 3144 2429
cyclicnh8 classical 1 random 3445.32 57.91 7.99 14.37 3368.21 456 463434 17 2606 2031
cyclicnh8 F4 6 random 2774.68 2.32 0.46 65.63 2652.73 1182 676462 29 97018 14472
cyclicnh8 classical 10 random NA NA NA NA NA NA NA NA NA NA
cyclicnh8 classical 19 random NA NA NA NA NA NA NA NA NA NA
cyclicnh8 F4 19 random 5252.19 1.96 0.30 27.71 5172.50 773 715828 21 89382 7822
cyclicnh8 classical 17 random 4298.34 75.44 10.81 11.49 4205.56 637 622140 22 3331 2689
cyclicnh8 F4 24 random 10496.45 4.63 0.58 38.90 10373.03 731 826807 23 186860 9667
cyclicnh8 F4 28 random 3014.63 2.67 0.52 67.51 2888.46 1182 676462 29 97018 14472
