instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn4 classical 4 random 0.52 0.26 0.25 0.00 0.00 7 30 6 12 5
cyclicnh4 classical 4 random 0.53 0.26 0.25 0.00 0.00 7 30 6 12 5
katsuranh4 F4 18 random 0.09 0.06 0.05 0.00 0.01 7 49 4 44 6
katsuran6 F4 14 random 0.32 0.06 0.05 0.03 0.19 22 528 6 537 123
cyclicn5 F4 14 random 0.33 0.12 0.10 0.08 0.10 20 232 8 600 176
fateman F4 4 random 0.49 0.28 0.08 0.01 0.17 27 1009 14 471 51
katsuran6 classical 4 random 0.42 0.15 0.12 0.02 0.23 22 528 6 70 48
cyclicn6 F4 8 random 1.99 0.31 0.28 0.44 0.94 45 1135 9 1710 497
econ6 F4 24 random 0.16 0.06 0.04 0.02 0.06 18 232 4 417 46
cyclicnh4 F4 6 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
f633 classical 1 random 1.58 0.31 0.23 0.09 1.13 34 1180 10 178 131
cyclicn5 F4 18 random 0.30 0.10 0.08 0.07 0.09 20 232 8 600 176
katsuran7 F4 4 random 1.25 0.07 0.05 0.08 0.99 41 1923 7 1346 293
f633h classical 1 random 1.00 0.19 0.13 0.08 0.67 47 977 6 214 167
butcher8 F4 9 random 3.15 0.14 0.10 0.95 1.87 54 1796 4 2481 612
econh4 classical 5 random 0.06 0.04 0.03 0.00 0.00 8 34 5 14 6
cyclicnh6 F4 29 random 2.17 0.13 0.10 0.14 1.77 52 2418 14 2365 282
cyclicn6 F4 1 random 1.45 0.20 0.17 0.41 0.71 45 1135 9 1710 497
f633 classical 27 random 2.11 0.55 0.41 0.36 1.13 20 434 7 184 116
econh7 F4 17 random 24.16 0.15 0.10 0.86 22.91 58 1399 8 24813 610
katsuranh5 F4 8 random 0.11 0.05 0.04 0.01 0.04 13 168 5 219 49
fatemanh F4 11 random 0.31 0.10 0.08 0.01 0.17 27 1009 14 471 51
econh4 F4 8 random 0.06 0.05 0.04 0.00 0.00 8 34 5 31 6
butcher8 F4 8 random 3.00 0.14 0.10 0.95 1.72 54 1796 4 2481 612
econ7 classical 4 random 0.93 0.15 0.12 0.07 0.67 32 747 4 153 113
econh6 classical 2 random 3.17 0.41 0.31 0.56 2.13 35 469 9 240 152
cyclicn7 F4 8 random 62.77 1.11 0.42 16.15 41.02 209 27185 12 13791 4197
fatemanh F4 29 random 0.32 0.11 0.08 0.01 0.18 27 1009 14 471 51
econh4 classical 24 random 0.06 0.04 0.03 0.00 0.00 8 34 5 14 6
