instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicnh4 F4 23 random 0.10 0.00 0.00 0.00 0.01 7 30 6 43 10
cyclicnh4 F4 24 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicn4 classical 0 random 0.15 0.07 0.06 0.00 0.00 7 30 6 12 5
cyclicnh4 F4 25 random 0.02 0.00 0.00 0.00 0.01 7 30 6 43 10
cyclicnh4 F4 26 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicnh4 F4 27 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicn4 classical 1 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
cyclicnh4 F4 28 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicnh4 F4 29 random 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicn4 classical 2 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 2 random 0.14 0.06 0.05 0.00 0.01 7 49 4 44 6
cyclicn4 classical 3 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5
cyclicn4 classical 4 random 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5
katsuranh4 F4 3 random 0.11 0.06 0.05 0.00 0.02 12 90 8 130 15
cyclicn4 classical 5 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 4 random 0.08 0.06 0.04 0.00 0.01 7 49 4 44 6
cyclicnh5 F4 16 random 0.52 0.14 0.12 0.08 0.17 38 538 13 746 221
cyclicn4 classical 6 random 0.06 0.05 0.04 0.00 0.00 7 30 6 12 5
cyclicn4 classical 7 random 0.05 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 5 random 0.08 0.06 0.05 0.00 0.01 7 49 4 44 6
cyclicn4 classical 8 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 6 random 0.09 0.06 0.05 0.00 0.01 7 49 4 44 6
cyclicn4 classical 9 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
cyclicn5 classical 0 random 0.50 0.23 0.18 0.03 0.21 20 232 8 113 75
cyclicn4 classical 10 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 7 random 0.09 0.06 0.05 0.00 0.01 7 49 4 44 6
katsuranh5 classical 25 random 0.16 0.10 0.08 0.01 0.04 13 168 5 31 18
cyclicn4 classical 11 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuranh4 F4 8 random 0.08 0.06 0.05 0.00 0.01 7 49 4 44 6
