instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuranh4 F4 26 static 0.40 0.00 0.00 0.00 0.04 7 49 4 44 6
katsuranh6 F4 20 static 0.40 0.00 0.00 0.01 0.15 22 528 6 389 61
cyclicnh5 F4 3 perturbation 0.59 0.35 0.33 0.01 0.07 12 171 7 140 19
econh6 F4 18 perturbation 0.28 0.12 0.10 0.03 0.09 28 346 9 617 132
f633 classical 19 static 0.86 0.00 0.00 0.08 0.62 47 1022 4 214 167
katsuranh5 classical 7 static 0.06 0.00 0.00 0.00 0.04 13 168 5 31 18
econh7 classical 0 static 1.16 0.00 0.00 0.07 1.06 51 1127 10 213 162
f633 classical 22 perturbation 1.19 0.42 0.37 0.08 0.62 47 1022 4 214 167
katsuran7 classical 9 static 1.74 0.00 0.00 0.06 1.64 41 1923 7 169 128
f633 F4 7 caboara-perry 4.95 3.31 0.49 0.21 1.35 40 1215 7 3983 169
cyclicn6 F4 8 perturbation 1.61 0.17 0.14 0.40 0.91 45 1135 9 1710 497
butcher8 F4 25 static 2.12 0.00 0.00 0.46 1.53 54 1796 4 2136 293
cyclicnh4 F4 0 perturbation 0.02 0.00 0.00 0.00 0.01 7 30 6 43 10
econ7 F4 6 caboara-perry 2.24 1.21 0.42 0.18 0.77 22 617 10 2359 130
butcher8 classical 22 perturbation 15.86 2.17 1.68 0.76 12.77 44 1300 4 411 282
cyclicnh6 F4 25 caboara-perry 8.17 7.33 1.49 0.05 0.72 43 2112 12 899 92
econ6 F4 25 caboara-perry 1.04 0.75 0.28 0.08 0.16 7 104 14 931 48
cyclicnh6 classical 17 static 5.01 0.00 0.00 0.23 4.73 99 3502 15 389 290
fateman classical 21 static 0.20 0.00 0.00 0.01 0.17 27 1009 14 63 36
econ5 classical 16 caboara-perry 0.17 0.13 0.06 0.01 0.01 6 48 6 13 3
cyclicn7 F4 21 static 44.90 0.00 0.00 6.77 34.59 209 27185 12 11117 2891
katsuran4 classical 4 perturbation 0.11 0.08 0.08 0.00 0.00 7 49 4 12 5
katsuran4 classical 6 perturbation 0.06 0.05 0.04 0.00 0.00 7 49 4 12 5
econh4 F4 29 perturbation 0.07 0.06 0.05 0.00 0.00 8 34 5 31 6
