instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
econ4 classical 2 static 0.11 0.00 0.00 0.00 0.00 7 29 2 13 6
cyclicn4 classical 2 static 0.11 0.00 0.00 0.00 0.00 7 30 6 12 5
econ5 classical 0 static 0.05 0.00 0.00 0.01 0.02 11 82 3 28 15
econh5 F4 0 perturbation 0.17 0.12 0.11 0.01 0.03 15 98 6 123 24
econh4 classical 4 caboara-perry 0.30 0.18 0.08 0.00 0.01 5 21 4 6 1
cyclicn4 classical 4 caboara-perry 0.19 0.16 0.07 0.00 0.01 5 21 5 8 3
cyclicnh5 classical 3 caboara-perry 0.98 0.70 0.27 0.03 0.11 21 296 12 49 28
katsuranh5 classical 0 caboara-perry 1.07 0.80 0.34 0.02 0.09 14 197 5 34 20
econ7 F4 1 static 0.77 0.00 0.00 0.09 0.61 32 747 4 1133 129
katsuranh5 F4 3 static 0.07 0.00 0.00 0.00 0.05 13 168 5 140 22
fateman F4 3 static 0.27 0.00 0.00 0.01 0.22 27 1009 14 433 38
cyclicn6 F4 3 static 1.43 0.00 0.00 0.29 0.99 45 1135 9 1272 351
econ6 classical 1 caboara-perry 0.82 0.57 0.26 0.04 0.16 8 122 9 49 22
katsuranh7 F4 4 perturbation 1.85 0.19 0.16 0.11 1.32 41 1923 7 1346 293
econh5 classical 3 perturbation 0.24 0.18 0.15 0.01 0.03 15 104 7 37 22
cyclicn5 F4 3 static 0.17 0.00 0.00 0.04 0.09 20 232 8 364 87
econ7 F4 0 caboara-perry 2.90 1.48 0.51 0.22 1.10 22 617 10 2359 130
cyclicn4 F4 0 static 0.02 0.00 0.00 0.00 0.00 7 30 6 29 5
katsuran4 classical 2 perturbation 0.09 0.06 0.06 0.00 0.01 7 49 4 12 5
katsuran7 F4 1 caboara-perry 5.82 1.55 0.63 0.27 3.84 41 2268 8 2677 164
econ4 classical 1 caboara-perry 0.16 0.13 0.05 0.01 0.01 5 24 3 11 4
econ5 classical 3 static 0.04 0.00 0.00 0.01 0.02 11 82 3 28 15
econh6 classical 2 caboara-perry 2.61 1.54 0.50 0.19 0.81 35 534 8 130 95
fateman F4 1 perturbation 0.42 0.12 0.11 0.02 0.24 27 1009 14 471 51
katsuran7 classical 4 perturbation 3.54 0.86 0.72 0.09 2.52 41 1923 7 169 128
f633 F4 2 static 0.92 0.00 0.00 0.12 0.72 47 1022 4 2098 191
katsuranh6 classical 2 static 0.38 0.00 0.00 0.02 0.34 22 528 6 70 48
econh4 classical 4 perturbation 0.08 0.06 0.05 0.00 0.00 8 34 5 14 6
econh7 classical 4 caboara-perry 10.88 4.20 1.11 0.63 5.91 68 1985 15 324 256
cyclicn4 classical 1 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
katsuranh6 classical 3 caboara-perry 3.50 2.80 0.88 0.08 0.56 24 634 6 77 53
econ5 classical 2 caboara-perry 0.22 0.17 0.07 0.01 0.01 6 48 6 13 3
econh4 classical 1 static 0.02 0.00 0.00 0.00 0.00 8 34 5 14 6
econh6 classical 4 perturbation 0.67 0.35 0.31 0.03 0.25 28 346 9 94 66
katsuran4 classical 4 perturbation 0.09 0.06 0.06 0.00 0.01 7 49 4 12 5
butcher8 F4 1 perturbation 4.17 0.34 0.27 1.29 2.28 54 1796 4 2481 612
katsuran7 F4 4 static 1.17 0.00 0.00 0.06 1.02 41 1923 7 1077 166
cyclicnh6 classical 1 caboara-perry 3.69 1.82 0.72 0.14 1.64 48 2580 14 153 105
katsuranh7 classical 4 caboara-perry 11.03 5.86 1.51 0.67 4.34 52 2600 7 231 179
econh4 F4 4 caboara-perry 0.15 0.11 0.05 0.00 0.02 10 44 6 56 10
katsuran5 F4 4 caboara-perry 0.40 0.34 0.18 0.00 0.03 13 168 5 140 22
cyclicnh4 classical 1 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5
f633 classical 3 perturbation 1.70 0.53 0.45 0.12 0.97 47 1022 4 214 167
econ7 classical 2 perturbation 1.53 0.33 0.28 0.10 1.04 32 747 4 153 113
katsuran4 classical 0 caboara-perry 0.19 0.15 0.06 0.00 0.02 7 55 4 12 5
cyclicnh7 F4 4 static 38.74 0.00 0.00 4.25 31.11 443 79897 19 8752 2517
cyclicnh5 classical 2 caboara-perry 0.78 0.61 0.22 0.02 0.10 21 296 12 49 28
cyclicn4 F4 2 caboara-perry 0.07 0.05 0.03 0.00 0.00 7 30 6 29 5
cyclicn6 classical 0 static 6.03 0.00 0.00 0.31 5.64 45 1135 9 354 255
f633h F4 1 caboara-perry 4.99 3.39 1.04 0.10 1.38 55 1498 9 3370 220
cyclicnh6 classical 2 static 7.31 0.00 0.00 0.32 6.91 99 3502 15 389 290
fatemanh classical 1 perturbation 0.65 0.35 0.30 0.02 0.25 27 1009 14 63 36
katsuranh7 F4 4 static 1.20 0.00 0.00 0.06 1.04 41 1923 7 1077 166
cyclicn7 F4 0 static 57.04 0.00 0.00 9.06 43.25 209 27185 12 11117 2891
katsuranh4 classical 4 caboara-perry 0.38 0.33 0.12 0.01 0.02 8 58 4 15 7
katsuranh7 F4 1 caboara-perry 8.36 7.08 1.70 0.11 1.03 48 2272 7 1079 195
econh6 F4 3 static 0.14 0.00 0.00 0.02 0.09 28 346 9 468 67
econh4 F4 3 static 0.03 0.00 0.00 0.00 0.01 8 34 5 31 6
cyclicn4 F4 3 perturbation 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
katsuranh5 classical 2 caboara-perry 0.88 0.73 0.30 0.02 0.09 14 197 5 34 20
cyclicn6 classical 1 static 6.35 0.00 0.00 0.32 5.97 45 1135 9 354 255
fatemanh F4 4 caboara-perry 1.71 1.41 0.57 0.01 0.25 22 1060 12 351 29
fateman classical 3 static 0.28 0.00 0.00 0.02 0.24 27 1009 14 63 36
econ5 F4 1 perturbation 0.12 0.06 0.06 0.01 0.02 11 82 3 162 33
katsuran6 F4 4 static 0.21 0.00 0.00 0.02 0.16 22 528 6 389 61
econh6 F4 0 static 0.23 0.00 0.00 0.02 0.18 28 346 9 468 67
econh6 classical 1 caboara-perry 2.60 1.53 0.49 0.19 0.81 35 534 8 130 95
fatemanh F4 0 static 0.28 0.00 0.00 0.01 0.23 27 1009 14 433 38
fateman classical 2 caboara-perry 3.08 2.24 1.32 0.05 0.74 43 1882 20 110 67
cyclicn4 classical 0 caboara-perry 0.16 0.13 0.05 0.00 0.01 5 21 5 8 3
fatemanh F4 0 perturbation 0.47 0.17 0.15 0.02 0.24 27 1009 14 471 51
cyclicnh7 classical 3 caboara-perry 81.19 33.80 1.68 1.12 45.84 113 29371 13 429 316
katsuranh5 classical 4 static 0.08 0.00 0.00 0.01 0.05 13 168 5 31 18
cyclicn6 F4 4 static 1.19 0.00 0.00 0.29 0.75 45 1135 9 1272 351
cyclicn4 F4 1 caboara-perry 0.06 0.05 0.03 0.00 0.00 7 30 6 29 5
econ7 classical 0 static 1.07 0.00 0.00 0.09 0.95 32 747 4 153 113
katsuranh4 classical 1 perturbation 0.10 0.07 0.06 0.00 0.01 7 49 4 12 5
katsuran4 classical 2 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
econh7 F4 3 static 0.63 0.00 0.00 0.08 0.48 51 1127 10 1185 171
econ6 classical 0 static 0.17 0.00 0.00 0.02 0.13 18 232 4 61 41
econ6 classical 1 perturbation 0.42 0.24 0.21 0.02 0.13 18 232 4 61 41
fatemanh F4 1 static 0.28 0.00 0.00 0.01 0.23 27 1009 14 433 38
fateman classical 2 static 0.25 0.00 0.00 0.02 0.21 27 1009 14 63 36
cyclicnh4 classical 1 perturbation 0.08 0.06 0.05 0.00 0.00 7 30 6 12 5
cyclicnh5 F4 4 caboara-perry 0.75 0.61 0.24 0.01 0.10 20 309 12 314 27
katsuran7 F4 1 perturbation 1.52 0.13 0.11 0.11 1.15 41 1923 7 1346 293
fatemanh classical 4 perturbation 0.63 0.33 0.29 0.02 0.25 27 1009 14 63 36
katsuranh4 F4 4 perturbation 0.11 0.09 0.08 0.00 0.01 7 49 4 44 6
econ4 F4 2 static 0.02 0.00 0.00 0.00 0.00 7 29 2 35 7
econh5 classical 3 static 0.05 0.00 0.00 0.01 0.03 15 104 7 37 22
fatemanh classical 4 caboara-perry 1.05 0.78 0.38 0.02 0.20 22 925 12 47 25
cyclicn6 classical 3 caboara-perry 15.42 4.84 2.49 0.91 9.42 19 360 48 406 274
f633h classical 4 static 1.09 0.00 0.00 0.10 0.94 47 977 6 214 167
econ4 classical 3 static 0.02 0.00 0.00 0.00 0.00 7 29 2 13 6
econ7 classical 3 perturbation 1.55 0.35 0.30 0.10 1.05 32 747 4 153 113
cyclicn7 F4 4 perturbation 83.96 2.55 1.27 21.84 53.15 209 27185 12 13791 4197
econ4 classical 0 static 0.02 0.00 0.00 0.00 0.00 7 29 2 13 6
cyclicn5 F4 1 caboara-perry 1.37 1.08 0.59 0.07 0.18 12 114 15 571 69
katsuran5 classical 0 caboara-perry 0.65 0.50 0.20 0.02 0.09 12 193 6 32 16
katsuran7 F4 4 perturbation 1.53 0.12 0.11 0.11 1.17 41 1923 7 1346 293
katsuranh7 F4 3 caboara-perry 8.22 6.96 1.72 0.11 1.02 48 2272 7 1079 195
cyclicn4 F4 4 caboara-perry 0.06 0.04 0.03 0.00 0.00 7 30 6 29 5
katsuran6 F4 2 static 0.30 0.00 0.00 0.02 0.25 22 528 6 389 61
econh4 F4 4 perturbation 0.08 0.06 0.06 0.00 0.00 8 34 5 31 6
econh7 F4 0 static 0.51 0.00 0.00 0.08 0.38 51 1127 10 1185 171
cyclicnh6 F4 1 caboara-perry 10.91 9.78 1.89 0.06 0.97 43 2112 12 899 92
cyclicn6 classical 1 perturbation 7.33 1.14 0.93 0.31 5.74 45 1135 9 354 255
cyclicnh4 F4 2 perturbation 0.02 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicn5 classical 1 static 0.31 0.00 0.00 0.04 0.24 20 232 8 113 75
f633 F4 1 caboara-perry 6.14 4.10 0.62 0.28 1.65 40 1215 7 3983 169
katsuran5 F4 0 perturbation 0.16 0.08 0.07 0.01 0.05 13 168 5 219 49
butcher8 F4 0 static 2.69 0.00 0.00 0.56 1.96 54 1796 4 2136 293
cyclicnh6 F4 0 caboara-perry 10.95 9.93 1.96 0.06 0.86 43 2112 12 899 92
econ5 classical 1 caboara-perry 0.21 0.18 0.07 0.01 0.01 6 48 6 13 3
fateman classical 2 perturbation 0.52 0.24 0.21 0.02 0.24 27 1009 14 63 36
cyclicnh6 classical 1 perturbation 1.42 0.57 0.49 0.05 0.75 34 1540 9 102 65
fatemanh F4 2 caboara-perry 1.82 1.42 0.58 0.01 0.34 22 1060 12 351 29
cyclicnh7 classical 0 caboara-perry 78.08 34.73 1.67 1.12 41.89 113 29371 13 429 316
cyclicn6 classical 4 static 6.47 0.00 0.00 0.32 6.08 45 1135 9 354 255
econ6 F4 0 perturbation 0.21 0.08 0.07 0.02 0.09 18 232 4 417 46
cyclicn6 F4 3 perturbation 1.85 0.21 0.17 0.51 0.96 45 1135 9 1710 497
fateman F4 4 static 0.24 0.00 0.00 0.01 0.20 27 1009 14 433 38
econ7 classical 2 caboara-perry 2.20 1.15 0.42 0.16 0.82 22 553 6 111 71
katsuranh5 F4 1 static 0.05 0.00 0.00 0.00 0.03 13 168 5 140 22
cyclicnh6 F4 3 caboara-perry 10.84 9.74 1.90 0.06 0.95 43 2112 12 899 92
cyclicnh4 F4 2 static 0.02 0.00 0.00 0.00 0.00 7 30 6 29 5
katsuran5 classical 1 perturbation 0.23 0.15 0.14 0.01 0.05 13 168 5 31 18
cyclicn7 F4 2 perturbation 83.76 2.59 1.34 22.28 52.67 209 27185 12 13791 4197
cyclicn7 F4 4 caboara-perry 458.32 126.24 40.08 28.94 295.07 135 17053 37 50945 2794
econ6 classical 3 caboara-perry 0.82 0.57 0.24 0.04 0.17 8 122 9 49 22
econh5 F4 0 static 0.05 0.00 0.00 0.00 0.03 15 104 7 142 22
econh6 F4 1 caboara-perry 1.85 1.67 0.47 0.04 0.10 29 381 7 384 81
katsuran6 classical 0 caboara-perry 1.64 1.06 0.36 0.08 0.43 23 593 6 72 49
f633 classical 0 caboara-perry 2.55 1.35 0.40 0.17 0.93 31 914 8 148 110
katsuran5 F4 2 static 0.06 0.00 0.00 0.00 0.03 13 168 5 140 22
katsuranh6 F4 2 static 0.21 0.00 0.00 0.02 0.16 22 528 6 389 61
f633 classical 4 caboara-perry 2.46 1.34 0.39 0.16 0.89 31 914 8 148 110
katsuran6 classical 4 static 0.37 0.00 0.00 0.02 0.32 22 528 6 70 48
cyclicn7 classical 2 perturbation 689.62 23.57 12.21 7.98 656.35 209 27185 12 2099 1625
katsuranh6 classical 0 perturbation 0.77 0.37 0.32 0.02 0.34 22 528 6 70 48
cyclicnh6 F4 1 static 1.32 0.00 0.00 0.23 0.94 99 3502 15 1344 386
cyclicn4 F4 3 caboara-perry 0.06 0.04 0.03 0.00 0.00 7 30 6 29 5
econ5 F4 2 static 0.05 0.00 0.00 0.01 0.02 11 82 3 149 22
katsuran4 F4 4 caboara-perry 0.08 0.05 0.03 0.00 0.01 7 49 4 44 6
cyclicnh6 F4 3 static 1.27 0.00 0.00 0.23 0.89 99 3502 15 1344 386
katsuranh6 classical 4 static 0.38 0.00 0.00 0.02 0.33 22 528 6 70 48
katsuranh6 F4 1 perturbation 0.42 0.12 0.11 0.03 0.22 22 528 6 537 123
econ4 F4 4 caboara-perry 0.05 0.03 0.03 0.00 0.00 7 29 2 35 7
econ5 F4 2 perturbation 0.12 0.07 0.06 0.01 0.02 11 82 3 162 33
katsuran7 classical 2 caboara-perry 5.43 1.76 0.65 0.39 3.19 43 2156 7 177 134
econ7 classical 4 static 1.11 0.00 0.00 0.09 0.98 32 747 4 153 113
katsuranh4 classical 2 caboara-perry 0.38 0.33 0.13 0.01 0.02 8 58 4 15 7
fateman classical 1 static 0.29 0.00 0.00 0.02 0.25 27 1009 14 63 36
econh4 F4 1 caboara-perry 0.15 0.12 0.05 0.00 0.02 10 44 6 56 10
cyclicn7 classical 3 perturbation 697.24 23.22 11.91 8.33 664.07 209 27185 12 2099 1625
econh6 classical 3 caboara-perry 2.58 1.51 0.52 0.18 0.82 35 534 8 130 95
econ6 classical 4 perturbation 0.42 0.24 0.21 0.02 0.13 18 232 4 61 41
katsuranh6 F4 3 perturbation 0.41 0.12 0.10 0.03 0.21 22 528 6 537 123
econh6 F4 0 perturbation 0.29 0.11 0.10 0.04 0.11 28 346 9 617 132
econh4 F4 2 caboara-perry 0.14 0.11 0.05 0.00 0.01 10 44 6 56 10
katsuranh7 classical 4 perturbation 3.61 0.95 0.79 0.09 2.49 41 1923 7 169 128
cyclicnh4 classical 2 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5
cyclicn7 F4 2 static 57.95 0.00 0.00 9.11 44.08 209 27185 12 11117 2891
fateman F4 1 caboara-perry 2.56 1.77 0.61 0.04 0.68 40 2056 17 680 65
cyclicnh6 classical 4 perturbation 1.43 0.57 0.50 0.05 0.76 34 1540 9 102 65
econ4 classical 1 static 0.02 0.00 0.00 0.00 0.00 7 29 2 13 6
econ6 F4 4 static 0.13 0.00 0.00 0.02 0.08 18 232 4 417 46
cyclicn6 classical 1 caboara-perry 14.90 4.64 2.37 0.89 9.14 19 360 48 406 274
katsuranh6 classical 2 caboara-perry 3.17 2.52 0.81 0.07 0.52 24 634 6 77 53
katsuran4 classical 1 caboara-perry 0.17 0.14 0.06 0.00 0.01 7 55 4 12 5
fateman F4 0 perturbation 0.37 0.12 0.10 0.01 0.21 27 1009 14 471 51
katsuranh4 classical 3 caboara-perry 0.35 0.31 0.12 0.00 0.01 8 58 4 15 7
cyclicnh7 classical 1 static 672.15 0.00 0.00 6.63 664.56 443 79897 19 2199 1756
