instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn4 classical 0 localsearch 0.42 0.32 0.14 0.00 0.00 5 21 5 8 3
econ5 F4 0 localsearch 1.16 0.99 0.33 0.03 0.04 8 55 5 302 51
f633 classical 0 localsearch 19.57 18.44 5.56 0.33 0.71 42 1031 7 192 146
econ6 classical 0 localsearch 4.33 4.17 1.57 0.03 0.09 9 139 7 44 19
katsuranh6 classical 0 localsearch 25.50 24.72 4.47 0.07 0.57 30 828 8 109 79
econh4 F4 0 localsearch 0.65 0.60 0.20 0.01 0.02 8 33 6 121 23
econ6 F4 0 localsearch 8.00 7.07 1.98 0.51 0.36 8 136 9 1840 318
econh6 classical 0 localsearch 62.41 61.49 8.86 0.07 0.72 31 1799 8 110 79
katsuran6 classical 0 localsearch 37.26 36.12 9.06 0.18 0.88 8 257 20 93 30
katsuran7 classical 0 localsearch 48.00 45.06 10.92 0.26 2.60 44 2200 7 181 137
cyclicnh5 F4 0 localsearch 4.36 4.12 1.49 0.03 0.17 17 254 10 876 112
cyclicnh5 classical 0 localsearch 4.55 4.42 1.58 0.02 0.08 21 293 12 49 28
cyclicn6 classical 0 localsearch 133.30 120.09 26.70 1.07 11.92 17 351 48 346 188
cyclicn5 F4 0 localsearch 11.19 9.63 2.81 0.58 0.90 11 102 15 3524 513
f633 F4 0 localsearch 13.51 12.08 3.44 0.32 1.01 32 679 7 3694 531
econ7 F4 0 localsearch 39.67 37.61 6.39 0.66 1.30 23 647 8 4002 402
katsuran6 F4 0 localsearch 19.28 17.96 4.56 0.33 0.90 20 583 8 2218 339
katsuran4 F4 0 localsearch 0.63 0.58 0.20 0.01 0.03 7 54 4 128 24
econ7 classical 0 localsearch 28.14 27.06 6.43 0.13 0.88 18 482 12 109 60
econh5 classical 0 localsearch 6.14 6.01 1.53 0.01 0.09 14 358 7 35 21
katsuran4 classical 0 localsearch 0.59 0.55 0.23 0.00 0.01 7 49 4 12 5
katsuranh4 F4 0 localsearch 0.78 0.75 0.25 0.00 0.01 7 55 4 92 10
fatemanh classical 0 localsearch 37.95 37.55 7.22 0.04 0.32 33 1321 16 81 48
katsuran5 classical 0 localsearch 2.88 2.75 1.02 0.02 0.08 12 182 6 32 16
fateman classical 0 localsearch 30.59 29.89 10.18 0.05 0.60 44 1933 20 113 69
econ4 F4 0 localsearch 0.28 0.25 0.09 0.01 0.01 7 29 2 74 22
butcher8 F4 0 localsearch 837.40 823.00 63.35 5.54 8.23 31 1019 5 7019 1417
noon7 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
katsuranh7 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
butcher8 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
katsuranh5 F4 0 localsearch 13.36 12.50 2.98 0.25 0.52 30 459 12 2237 524
katsuranh6 F4 0 localsearch 11.34 10.56 2.93 0.09 0.63 23 586 6 1244 237
econh4 classical 0 localsearch 1.01 0.97 0.36 0.00 0.02 8 83 6 15 7
cyclicnh6 F4 0 localsearch 90.99 86.12 15.38 0.99 3.53 59 2113 13 5903 1230
cyclicn4 F4 0 localsearch 0.41 0.38 0.15 0.00 0.01 6 28 8 69 10
econ4 classical 0 localsearch 0.37 0.35 0.14 0.00 0.00 5 22 3 11 3
katsuran7 F4 0 localsearch 142.63 132.00 21.70 1.46 8.85 34 1938 10 8726 699
f633h classical 0 localsearch 3132.36 3123.84 26.82 0.10 8.32 34 4677 8 141 107
econh7 F4 0 localsearch 40.26 38.68 8.20 0.53 0.88 47 1113 8 2864 902
katsuranh5 classical 0 localsearch 3.11 2.98 1.03 0.02 0.09 14 194 5 34 20
katsuran5 F4 0 localsearch 2.16 2.03 0.66 0.02 0.08 13 170 5 413 75
fateman F4 0 localsearch 29.34 27.36 9.33 0.16 1.64 42 1834 20 2761 534
econh6 F4 0 localsearch 12.01 10.96 3.70 0.40 0.54 36 527 9 2786 771
cyclicnh4 F4 0 localsearch 0.56 0.53 0.19 0.00 0.01 7 27 8 64 9
cyclicnh7 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
cyclicn5 classical 0 localsearch 7.34 6.83 2.45 0.23 0.24 10 89 15 105 65
econh7 classical 0 localsearch 683.08 676.53 36.36 0.57 5.85 66 5589 10 306 240
katsuranh4 classical 0 localsearch 0.84 0.78 0.28 0.00 0.03 7 55 4 12 5
katsuranh7 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
f633h F4 0 localsearch 63.01 61.52 6.04 0.31 1.04 44 977 6 3996 710
cyclicn7 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
cyclicn6 F4 0 localsearch 188.25 174.14 31.87 8.43 5.13 53 1347 13 9172 2656
econh5 F4 0 localsearch 2.79 2.62 1.02 0.05 0.08 20 156 10 656 181
cyclicnh6 classical 0 localsearch 41.15 39.59 10.97 0.20 1.29 48 1706 13 150 102
cyclicn7 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
cyclicnh7 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
noon7 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
cyclicnh4 classical 0 localsearch 0.34 0.30 0.12 0.00 0.01 5 21 5 8 3
fatemanh F4 0 localsearch 30.16 29.37 5.45 0.06 0.63 29 1127 15 1479 273
econ5 classical 0 localsearch 0.98 0.93 0.34 0.01 0.03 6 48 6 15 4
