instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicnh8 classical 4 perturbation 1895.92 74.43 26.74 5.85 1812.14 455 415782 17 2220 1765
cyclicnh8 classical 12 perturbation 1912.44 74.78 26.74 5.97 1828.18 455 415782 17 2220 1765
cyclicnh8 classical 8 perturbation 1916.10 74.78 26.51 5.98 1831.82 455 415782 17 2220 1765
cyclicnh8 classical 0 perturbation 1939.09 74.03 26.44 5.98 1855.54 455 415782 17 2220 1765
cyclicnh8 classical 5 perturbation 1905.30 75.40 26.61 5.84 1820.57 455 415782 17 2220 1765
cyclicnh8 classical 13 perturbation 1906.14 75.58 26.62 5.87 1821.20 455 415782 17 2220 1765
cyclicnh8 classical 9 perturbation 1919.42 75.94 26.60 5.86 1834.11 455 415782 17 2220 1765
cyclicnh8 classical 1 perturbation 1951.69 75.99 26.77 5.94 1866.23 455 415782 17 2220 1765
cyclicnh8 classical 6 perturbation 1899.90 76.66 26.57 5.91 1813.80 455 415782 17 2220 1765
cyclicnh8 classical 10 perturbation 1923.60 76.48 26.42 5.91 1837.69 455 415782 17 2220 1765
cyclicnh8 classical 14 perturbation 1942.97 76.55 26.36 5.92 1856.96 455 415782 17 2220 1765
cyclicnh8 classical 2 perturbation 1945.38 76.91 26.88 5.90 1859.02 455 415782 17 2220 1765
cyclicnh8 classical 7 perturbation 1956.11 77.85 26.88 6.02 1868.69 455 415782 17 2220 1765
cyclicnh8 classical 15 perturbation 1946.85 77.49 26.81 5.87 1859.94 455 415782 17 2220 1765
cyclicnh8 classical 11 perturbation 1997.24 77.82 26.71 6.00 1909.83 455 415782 17 2220 1765
cyclicnh8 classical 3 perturbation 1982.09 77.45 26.45 6.09 1894.95 455 415782 17 2220 1765
cyclicnh8 classical 16 perturbation 1982.05 78.21 26.52 5.93 1894.34 455 415782 17 2220 1765
cyclicnh8 classical 20 perturbation 1956.95 78.39 26.78 6.10 1868.89 455 415782 17 2220 1765
